n00001740	entity
n00237078	constitution, establishment, formation, organization, organisation
n00237705	re-establishment
n00237869	Creation
n00238022	introduction, debut, first appearance, launching, unveiling, entry
n00238326	induction of labor
n00238527	induction
n00238778	hypnogenesis
n00238871	product introduction
n00239024	face-off
n00239230	first step, initiative, opening move, opening
n00239483	groundbreaking, groundbreaking ceremony
n00239666	housing start
n00239766	icebreaker
n00239910	inauguration, startup
n00240184	initiation, founding, foundation, institution, origination, creation, innovation, introduction, instauration
n00240754	authorship, paternity
n00240938	installation, installing, installment, instalment
n00241245	jump ball
n00241507	kickoff
n00241699	start, starting
n00242003	resumption, recommencement
n00242146	scrum, scrummage
n00242431	startup
n00242583	unionization, unionisation
n00242808	arousal, rousing
n00243102	reveille
n00243237	ushering in
n00243373	inauguration, inaugural
n00243577	curtain raiser
n00243662	first base
n00243813	peace initiative
n00243918	cooking, cookery, preparation
n00246341	baking
n00246460	shirring
n00246552	toasting, browning
n00246754	broil, broiling, grilling
n00246940	frying, sauteing
n00247081	fusion cooking
n00247229	braising
n00247342	poaching
n00247442	roasting
n00247654	barbecuing
n00247792	boiling, stewing, simmering
n00247955	basting
n00248063	tenderization, tenderisation
n00248252	percolation
n00248368	seasoning
n00248534	salting
n00248636	sweetening
n00248748	infusion
n00248977	improvement
n00249501	advancement, progress
n00249780	forwarding, furtherance, promotion
n00249987	stride
n00250143	work flow, workflow
n00250259	development
n00250597	broadening
n00250710	elaboration, working out
n00250882	product development
n00251013	cleaning, cleansing, cleanup
n00251520	disinfestation
n00251636	spring-cleaning
n00251780	scrub, scrubbing, scouring
n00252020	swabbing, mopping
n00252169	dry cleaning
n00252307	sweeping
n00252430	purge, purging
n00252662	purge, purging, purgation
n00252894	purification
n00253070	purification, purgation
n00253270	purification
n00253395	catharsis, katharsis, abreaction
n00253577	catharsis, katharsis, purgation
n00253773	high colonic
n00253919	sterilization, sterilisation
n00254166	pasteurization, pasteurisation
n00254415	sanitation, sanitization, sanitisation
n00254597	depilation, epilation
n00254769	shave, shaving
n00254922	tonsure
n00255065	electrolysis
n00255214	washup, bathing
n00255450	ablution
n00255600	dishwashing, washup
n00255710	wash, washing, lavation
n00256122	washing-up
n00256217	window-washing
n00256309	rinse
n00256407	rinse
n00256501	soak, soaking
n00256620	brush, brushing
n00256746	comb, combing
n00256961	comb-out, teasing
n00257115	shampoo
n00257228	hair care, haircare, hairdressing
n00257468	hairweaving
n00257580	shower, shower bath
n00257770	bath
n00257969	bubble bath
n00258093	mikvah
n00258301	mud bath
n00258403	sponge bath
n00258530	Turkish bath, steam bath, vapor bath, vapour bath
n00258695	rubdown
n00258854	correction, rectification
n00259177	redress, remedy, remediation
n00259392	salve
n00259544	retribution
n00259643	recompense, compensation
n00259894	indemnification
n00260051	optimization, optimisation
n00260494	perfection
n00260622	reform
n00260881	land reform
n00261029	amelioration, melioration, betterment
n00261258	self-improvement, self-reformation
n00261405	reform
n00261604	beautification
n00261797	beauty treatment
n00261972	glamorization, glamorisation, glamourization, glamourisation
n00262249	decoration
n00262596	adornment
n00262743	ornamentation, embellishment
n00262908	window dressing
n00263000	trimming
n00263164	tessellation
n00263272	figuration
n00263353	tattoo
n00263492	titivation, tittivation
n00263642	marking
n00263813	lineation
n00263947	mottling
n00264088	striping
n00264192	clearing, clarification
n00264366	enrichment
n00264529	fortification
n00264775	humanization, humanisation
n00264913	modernization, modernisation
n00265119	renovation, redevelopment, overhaul
n00265472	face lift, facelift, face lifting
n00265773	moralization, moralisation
n00265992	enhancement, sweetening
n00266149	upturn
n00266253	worsening
n00266401	downturn, downswing
n00266560	downspin
n00266645	ventilation, airing
n00266806	repair, fix, fixing, fixture, mend, mending, reparation
n00267217	darning
n00267349	patching
n00267522	care, maintenance, upkeep
n00267821	camera care
n00267917	car care
n00268025	oil change
n00268112	overhaul, inspection and repair, service
n00268341	interim overhaul
n00268457	band aid, quick fix, quickie, quicky
n00268557	restoration
n00268824	gentrification
n00269018	reclamation, renewal, rehabilitation
n00269258	reconstruction
n00269471	anastylosis
n00269674	makeover
n00269856	reassembly, refabrication
n00269963	re-formation, regeneration
n00270186	rebuilding
n00270275	restitution
n00270403	pump priming
n00270539	scheduled maintenance
n00270648	steam fitting
n00270800	coaching, coaching job
n00270919	engagement, booking
n00271155	gig
n00271263	degradation, debasement
n00271636	dehumanization, dehumanisation
n00271879	brutalization, brutalisation, animalization, animalisation
n00272123	barbarization, barbarisation
n00272303	bastardization, bastardisation
n00272448	corruption, subversion
n00272713	demoralization, demoralisation
n00272878	stultification, constipation, impairment, deadening
n00273077	popularization, popularisation, vulgarization, vulgarisation
n00273319	profanation
n00273449	humiliation, abasement
n00273601	comedown
n00273690	change of color
n00273877	whitening, lightening
n00274009	bleach
n00274206	etiolation
n00274437	blackening, darkening
n00274586	obfuscation
n00274707	discoloration, discolouration
n00274941	coloring, colouring
n00275151	tinting
n00275307	hair coloring
n00275424	dyeing
n00275572	staining
n00275751	Gram's method, Gram method, Gram's procedure, Gram's stain, Gram stain
n00276189	environmentalism
n00276342	fixation, fixing
n00276620	soiling, soilure, dirtying
n00276813	staining, spotting, maculation
n00276987	contamination, pollution
n00277267	dust contamination
n00277376	wetting
n00277569	submersion, immersion, ducking, dousing
n00277811	drenching, soaking, souse, sousing
n00278040	moistening, dampening
n00278221	splash, splashing
n00278403	watering
n00278555	sprinkle, sprinkling, sparge
n00278810	chew, chewing, mastication, manduction
n00279136	chomping
n00279235	mumbling, gumming
n00279377	rumination
n00279534	bruxism
n00279674	defoliation
n00279835	motion, movement, move
n00280586	movement
n00280853	approach, approaching, coming
n00281132	access
n00281291	back door, backdoor
n00281462	closing, closure
n00281752	landing approach
n00281898	overshoot, wave-off, go-around
n00282050	progress, progression, procession, advance, advancement, forward motion, onward motion
n00282485	push
n00282613	career, life history
n00282840	march
n00282953	plain sailing, clear sailing, easy going
n00283127	locomotion, travel
n00283450	brachiation
n00283568	walk, walking
n00283951	ambulation
n00284101	amble, promenade, saunter, stroll, perambulation
n00284409	ramble, meander
n00284544	constitutional
n00284665	foot
n00284798	walk
n00285141	sleepwalking, somnambulism, somnambulation, noctambulism, noctambulation
n00285387	sleep talking, somniloquy, somniloquism
n00285557	step
n00285889	pace, stride, tread
n00286112	pas
n00286240	trip
n00286360	sidestep
n00286497	gait
n00286756	hitch, hobble, limp
n00286957	gait
n00287142	walk
n00287276	rack, single-foot
n00287449	jog trot
n00287561	trot
n00287762	rising trot
n00287889	sitting trot
n00288000	dressage
n00288190	curvet, vaulting
n00288384	piaffe
n00288486	canter, lope
n00288671	gallop
n00288880	footstep
n00288970	hike, hiking, tramp
n00289175	trudge
n00289267	flounce
n00289388	lurch, stumble, stagger
n00289555	pacing
n00289659	roll
n00289737	saunter
n00289906	skip
n00290015	stalk, angry walk
n00290125	strut, prance, swagger
n00290276	lurch, lunge
n00290406	waddle
n00290579	march, marching
n00291004	countermarch
n00291154	goose step
n00291286	last mile
n00291400	lockstep
n00291663	promenade
n00291796	quick march
n00291876	routemarch
n00291965	plodding, plod
n00292125	prowl
n00292269	moonwalk
n00292386	perambulation
n00292599	turn
n00292712	shamble, shambling, shuffle, shuffling
n00292981	space walk
n00293125	moonwalk
n00293307	wading
n00293417	walkabout
n00293545	walkabout
n00293657	walkabout
n00293753	walk-through
n00293916	run, running
n00294190	jog, trot, lope
n00294366	dogtrot
n00294452	dash, sprint
n00294577	fast break
n00294748	break
n00294868	crawl, crawling, creep, creeping
n00295172	lap, circle, circuit
n00295422	pace lap
n00295563	victory lap, lap of honour
n00295701	travel, traveling, travelling
n00296263	circumnavigation
n00296478	peregrination
n00296585	procession
n00296946	traversal, traverse
n00297062	wandering, roving, vagabondage
n00297318	wayfaring
n00297404	drifting
n00297532	crossing
n00297657	ford, fording
n00297863	shallow fording
n00297951	deep fording
n00298047	traversal, traverse
n00298161	tourism, touristry
n00298351	ecotourism
n00298497	driving
n00299112	motoring
n00299217	riding, horseback riding
n00299680	roping
n00299826	bronco busting
n00299933	endurance riding
n00300037	pack riding
n00300113	trail riding
n00300206	calf roping
n00300333	steer roping
n00300441	air travel, aviation, air
n00301192	flight
n00301443	connecting flight
n00301598	direct flight
n00301728	domestic flight
n00301857	international flight
n00302001	nonstop flight, nonstop
n00302185	redeye, redeye flight
n00302394	flight, flying
n00302861	acrobatics, aerobatics, stunting, stunt flying
n00303049	blind flying, blind landing
n00303221	ballooning
n00303297	flyover, fly-by, flypast
n00303495	glide, gliding, sailplaning, soaring, sailing
n00303748	hang gliding
n00303849	jump, parachuting
n00304040	skydiving
n00304208	maiden flight
n00304349	parasailing, paragliding
n00304442	overflight
n00304592	pass
n00304729	solo
n00304851	sortie
n00305005	touchdown
n00305153	aircraft landing, airplane landing
n00305326	ground-controlled approach, GCA
n00305519	crash landing
n00305707	three-point landing
n00305858	instrument landing
n00305980	splashdown
n00306102	takeoff
n00306210	tailspin, spin
n00306318	terrain flight, low level flight
n00306426	journey, journeying
n00306900	stage, leg
n00307102	staging
n00307176	leg
n00307314	fare-stage
n00307455	commute
n00307631	drive, ride
n00308073	long haul
n00308208	mush
n00308279	odyssey
n00308370	trip
n00308681	junket
n00308779	round trip
n00308871	run
n00309011	run
n00309115	passage, transit
n00309276	lift
n00309368	joyride
n00309540	spin
n00309647	expedition
n00309802	scouting trip
n00309906	campaign, hunting expedition, safari
n00310063	exploration, geographic expedition
n00310201	digression, excursion
n00310347	trek
n00310425	schlep, shlep
n00310516	trek
n00310666	tour, circuit
n00311091	grand tour
n00311195	grand tour
n00311381	itineration
n00311528	on the road, on tour
n00311687	pilgrimage, pilgrim's journey
n00311809	excursion, jaunt, outing, junket, pleasure trip, expedition, sashay
n00312160	junketing
n00312266	airing
n00312403	field trip
n00312553	voyage
n00312691	way
n00312784	ocean trip, voyage
n00312932	cruise, sail
n00313096	maiden voyage
n00313245	crossing
n00313385	lockage
n00313502	spaceflight, space travel, spacefaring
n00313647	water travel, seafaring
n00313806	sailing
n00313971	luff
n00314094	beat
n00314271	ministry
n00314395	tack
n00314469	seafaring, navigation, sailing
n00315307	cabotage
n00315390	boating, yachting
n00315534	bareboating
n00315700	commutation, commuting
n00315830	displacement, deracination
n00315986	transportation, transport, transfer, transferral, conveyance
n00316460	transshipment
n00316594	airlift, lift
n00316806	Berlin airlift
n00316989	connection, connexion
n00317207	delivery, bringing
n00317485	cattle drive
n00317594	drive
n00317709	airdrop
n00317917	consignment
n00318035	passage, handing over
n00318186	post
n00318391	service, serving, service of process
n00318567	relay
n00318735	carry
n00319176	pickup
n00319312	packing, backpacking
n00319513	piggyback
n00319608	fireman's carry
n00319717	portage
n00319825	porterage
n00319939	pursuit, chase, pursual, following
n00320284	trailing, tracking
n00320486	shadowing, tailing
n00320625	stalk, stalking
n00320742	wild-goose chase
n00320852	insertion, introduction, intromission
n00321195	cannulation, canulation, cannulization, cannulisation, canulization, canulisation, intubation
n00321562	catheterization, catheterisation
n00321731	instillation, instillment, instilment
n00321956	enclosure, enclosing, envelopment, inclosure
n00322228	packing, boxing
n00322391	bundling
n00322488	encasement, incasement
n00322634	injection
n00322778	epidural injection
n00322962	intradermal injection
n00323056	intramuscular injection
n00323152	intravenous injection
n00323262	fix
